title,tagline
Repulsion,The nightmare world of a virgin's dreams becomes the screen's shocking reality!
Irma la Douce,"A story of passion, bloodshed, desire and death... everything, in fact, that makes life worth living."
42 Up,
Liberty Heights,"You're only young once, but you remember forever."
Mansfield Park,
Sleepy Hollow,Heads will roll.
The World Is Not Enough,As the countdown begins for the new millennium there is still one number you can always count on.
All About My Mother,Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.
Babes in Toyland,
Scrooged,The spirits will move you in odd and hysterical ways.
Harvey,The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!
Bicycle Thieves,A man and his son search for a stolen bicycle vital for his job.
Matewan,It takes more than guns to kill a man.
Kagemusha,
McCabe & Mrs. Miller,Name your poison
Maurice,
The Grapes of Wrath,The most discussed book in years - now comes to the screen to become the most discussed picture in ages
My Man Godfrey,She wanted her breakfast in bed - but not alone.
The Shop Around the Corner,"Quiet, Unassuming, Perfect"
The Natural,He lived for a dream that wouldn't die.
Shampoo,
A River Runs Through It,The Story of an American Family.
Fatal Attraction,A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.
Jagged Edge,"When a murder case is this shocking, which do you trust... your emotions or the evidence?"
Stanley & Iris,Some people need love spelled out for them.
Midnight Run,This could be the beginning of a beautiful friendship.
Awakenings,There is no such thing as a simple miracle.
Come See the Paradise,
Backdraft,"Silently behind a door, it waits."
The Fisher King,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail."
The River,He might be able to hold back the river. But could he hold back the greed of man?
Country,
Places in the Heart,"The story of a woman fighting for her children, for her land, for the greatest dream there is...the future."
"'night, Mother",
End of Days,Prepare for the end.
Toy Story 2,The toys are back!
Flawless,
Miss Julie,Worlds apart... bound by desire.
Ride with the Devil,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family."
Tumbleweeds,They ran away from everything but each other.
The Distinguished Gentleman,From con man to congressman
The Hitch-Hiker,Who will be his NEXT victim... YOU?
Santa Fe Trail,"Where the railroad and civilization ended, the Sante Fe Trail began!"
The End of the Affair,
Holy Smoke!,He had only one thing on his mind... but so did she!
A Map of the World,A woman's life falls apart after she's blamed for an accident on her property.
Sweet and Lowdown,
The Bonfire of the Vanities,"Take one Wall Street tycoon, his Fifth Avenue mistress, a reporter hungry for fame, and make the wrong turn in The Bronx...then sit back and watch the sparks fly."
Go West,
Grand Illusion,A Great Drama of Human Emotions
The Great Santini,The bravest thing he would ever do was let his family love him.
The James Dean Story,
Stealing Home,"Stealing hearts, stealing laughs, stealing memories"
Three Ages,
The Two Jakes,They say money makes the world go round. But sex was invented before money.
U2: Rattle and Hum,
Hell in the Pacific,"Out of violence, compassion. Out of suspicion, trust. Out of hell, hope."
The Glass Bottom Boat,Is this the girl next door?
Cradle Will Rock,
Deuce Bigalow: Male Gigolo,He charges $10 but he’s willing to negotiate.
The Green Mile,Miracles do happen.
The Cider House Rules,A story about how far we must travel to find the place where we belong.
The War Zone,When the worst of men hides in a family with no history.
The Last Picture Show,"Anarene, Texas, 1951. Nothing much has changed..."
The 7th Voyage of Sinbad,8th Wonder of the Screen!
Anna and the King,
Bicentennial Man,One robot's 200 year journey to become an ordinary man.
Stuart Little,The Little Family Just Got Bigger
The Emperor and the Assassin,
Fantasia 2000,
Magnolia,"Things fall down. People look up. And when it rains, it pours."
Onegin,
Topsy-Turvy,Gilbert & Sullivan & So Much More
Boiling Point,He's a cop who reached the Boiling Point
Brenda Starr,Off the comics onto the big screen...
Carnal Knowledge,Everyone needs to be loved - sometime or another.
Easy Rider,A man went looking for America and couldn’t find it anywhere...
The Falcon and the Snowman,They came from the best of families. And they committed the worst of crimes.
Room at the Top,A Savage Story of lust and ambition
Any Given Sunday,Play or be Played.
Man on the Moon,"Hello, my name is Andy and this is my movie."
Galaxy Quest,A comedy of Galactic Proportions.
The Talented Mr. Ripley,How far would you go to become someone else?
Next Friday,The suburbs make the hood look good.
The Hurricane,His greatest fight was for justice.
Angela's Ashes,
Play It to the Bone,
Titus,If you think you know Shakespeare... Think again.
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",
The Third Miracle,
Snow Falling on Cedars,From the director of 'Shine'
"Girl, Interrupted","The crazy thing is, you're not crazy."
The Life and Times of Hank Greenberg,"When America Needed Heroes, A Jewish Slugger Stepped To The Plate."
My Dog Skip,Every family needs an optimist.
Supernova,"In the farthest reaches of space, something has gone terribly wrong."
The Terrorist,Her death will not be ordinary.
The Way We Were,Everything seemed so important then .. even love!
Stalag 17,"THE STAR-SPANGLED, LAUGH-LOADED SALUTE TO OUR P.W. HEROS!"
The Presidio,He didn't want to share the murder investigation. There's no way he's going to share his daughter.
Papillon,The greatest adventure of escape!
Pal Joey,"From Your Pal, Columbia!"
The Last Detail,No *#@!!* Navy's going to give some poor **!!@* kid eight years in the #@!* brig without me taking him out for the time of his *#@!!* life.
Five Easy Pieces,He rode the fast lane on the road to nowhere.
Even Dwarfs Started Small,
Dead Calm,High seas. Deep terror. Try to stay calm.
The Boys from Brazil,If they survive...will we?
Black Sunday,STARE INTO THESE EYES... discover deep within them the unspeakable terrifying secret of BLACK SUNDAY... it will paralyze you with fright!
Against All Odds,
The Snows of Kilimanjaro,His Adventures . . . Like His Loves . . . Were Great and Exciting !
National Lampoon's Loaded Weapon 1,See it before they make the sequel!
Fast Times at Ridgemont High,"Fast Cars, Fast Girls, Fast Carrots...Fast Carrots?"
A Cry in the Dark,A family torn apart. A public filled with outrage. A woman accused of murder.
Batman: Mask of the Phantasm,The Dark Knight fights to save Gotham city from its deadliest enemy.
American Flyers,Two brothers challenge the road. And life itself.
Vampyros Lesbos,A Psycho-Sexadelic Horror Freakout!
A Star Is Born,Is the price of stardom a broken heart?
Poison,
Pacific Heights,Where terror lives.
The Draughtsman's Contract,
A Zed & Two Noughts,
Woman in the Dunes,Haunting. Erotic. Unforgettable.
Down to You,A new comedy about giving first love a second chance.
Seven Chances,Seven laughs a minute!
Where the Buffalo Roam,
Eye of the Beholder,Obsession is in the eye of the beholder.
Isn't She Great,Talent Isn't Everything...
The Big Tease,He saw. He combed. He conquered.
The Cup,Buddhism is their philosophy. Soccer is their religion.
Encino Man,When the stone age meets the rock age.
The Goodbye Girl,Thank you Neil Simon for making us laugh at falling in love...again.
I Am Cuba,
Malcolm X,
Sister Act,No booze! No sex! No drugs!... No way!
Sister Act 2: Back in the Habit,
The Hand that Rocks the Cradle,Trust is her weapon. Innocence her opportunity. Revenge her only desire.
Alive,They survived the impossible...by doing the unthinkable.
Agnes of God,
Scent of a Woman,Col. Frank Slade has a very special plan for the weekend!
Wayne's World,You'll laugh. You'll cry. You'll hurl.
Wayne's World 2,You'll laugh again! You'll cry again!! You'll hurl again!!!
A League of Their Own,"To achieve the incredible, you have to attempt the impossible."
Patriot Games,Not for honor. Not for country. For his wife and child.
The Bodyguard,Never let her out of your sight. Never let your guard down. Never fall in love.
Death Becomes Her,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.
Far and Away,What they needed was a country big enough for their dreams.
Howards End,
Singles,Love is a game. Easy to start. Hard to finish.
Twin Peaks: Fire Walk with Me,Meet Laura Palmer... In a town where nothing is as it seems... And everyone has something to hide.
White Men Can't Jump,It ain't easy being this good.
Buffy the Vampire Slayer,She knows a sucker when she sees one.
Hard Boiled,"As a cop, he has brains, brawn, and an instinct to kill."
Man Bites Dog,
El Mariachi,"He didn't come looking for trouble, but trouble came looking for him."
Stop! Or My Mom Will Shoot,
Forever Young,"Time waits for no man, but true love waits forever."
The Cutting Edge,The King of the Rink is about to meet America's Ice Queen.
Of Mice and Men,"We have a dream. Someday, we'll have a little house and a couple of acres. A place to call home."
Bad Lieutenant,Gambler. Thief. Junkie. Killer. Cop.
Scream 3,Someone has taken their love of trilogies one step too far.
Single White Female,Living with a roommate can be murder.
The Boondock Saints,Thy Kingdom Come. Thy Will Be Done.
Gun Shy,The Agency's best has a bad case of nerves.
The Brandon Teena Story,All Brandon wanted was to be one of the guys; unfortunately he was a girl.
Different for Girls,Expect the Unexpected
They Might Be Giants,
The Beach,Somewhere on this planet it must exist.
Snow Day,Roads closed. Schools shut. Rules were made to be frozen!
The Tigger Movie,
Not One Less,"In her village, she was the teacher. In the city, she discovered how much she had to learn."
The Big Combo,The Most Startling Story The Screen Has Ever Dared Reveal!
Eaten Alive,Meet the maniac & his friend. Together they make the greatest team in the history of the mass slaughter in...
"To Sir, with Love",A story as fresh as the girls in their minis... and as tough as the kids from London's East End!
